City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
351,Bambanglipuro,ID,78.71,overcast clouds,-7.95,110.2833,Puri Brata
352,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
354,Tamandare,BR,75.97,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
357,Meulaboh,ID,75.52,broken clouds,4.1363,96.1285,Kost Pria
360,Necochea,AR,78.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
361,Santa Catalina,PH,80.8,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
363,Port-Gentil,GA,81.09,broken clouds,-0.7193,8.7815,Fengshui Residence
369,Charters Towers,AU,81.41,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
377,Ahuimanu,US,80.85,clear sky,21.4447,-157.8378,Paradise Bay Resort
382,Iquique,CL,66.76,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
385,Swan Hill,AU,79.84,clear sky,-35.3378,143.5544,Lazy River Motor Inn
387,Sur,OM,69.91,clear sky,22.5667,59.5289,Sur Plaza Hotel
389,Sao Felix Do Xingu,BR,71.04,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
390,Loiza,PR,78.58,scattered clouds,18.4313,-65.8802,Malibu Beachfront
391,Flinders,AU,84.79,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
392,Kamuli,UG,65.23,broken clouds,0.9472,33.1197,Century Hotel Limited And laundry Services
393,Batalha,BR,79.41,overcast clouds,-9.6778,-37.1247,Pousada Solar do Sertão
394,Sechura,PE,76.17,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
395,Yulara,AU,76.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
398,Eyl,SO,73.0,broken clouds,7.9803,49.8164,Amiin Hotel
400,Taltal,CL,66.65,clear sky,-25.4,-70.4833,Residencial Karime
