City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Luderitz,NA,2022-01-26 19:02:48,-26.6481,15.1594,75.42,56,5,23.49
270,Llanes,ES,2022-01-26 19:02:49,43.4198,-4.7549,46.87,76,0,7.74
271,Sao Filipe,CV,2022-01-26 19:02:51,14.8961,-24.4956,77.49,61,37,14.38
272,Vila,PT,2022-01-26 19:02:52,42.0304,-8.1588,42.33,64,0,4.65
273,Viloco,BO,2022-01-26 19:03:53,-16.95,-67.55,57.06,57,83,6.98
274,Meulaboh,ID,2022-01-26 19:02:40,4.1363,96.1285,77.18,81,100,2.15
275,Broken Hill,AU,2022-01-26 18:59:02,-31.95,141.4333,82.11,51,40,8.05
276,Guarapari,BR,2022-01-26 19:03:55,-20.6667,-40.4975,80.49,65,88,12.5
277,Shwebo,MM,2022-01-26 19:03:56,22.5667,95.7,58.59,93,20,2.28
278,Clovis,US,2022-01-26 19:02:35,36.8252,-119.7029,67.6,57,0,1.99
279,Shenjiamen,CN,2022-01-26 19:03:59,29.9576,122.298,49.46,92,100,18.84
280,Nhulunbuy,AU,2022-01-26 19:04:00,-12.2333,136.7667,81.21,89,40,4.61
281,Namatanai,PG,2022-01-26 19:04:01,-3.6667,152.4333,79.86,82,76,3.67
282,Fontaine,FR,2022-01-26 19:04:02,45.1984,5.6827,38.89,72,2,1.99
283,Husavik,IS,2022-01-26 19:04:03,66.0449,-17.3389,23.68,75,100,10.92
284,Basavana Bagevadi,IN,2022-01-26 19:04:03,16.5833,75.9667,70.11,43,0,11.61
285,Cherskiy,RU,2022-01-26 19:04:04,68.75,161.3,-44.57,99,46,3.71
286,Apricena,IT,2022-01-26 19:04:05,41.7839,15.4437,43.27,87,15,4.94
287,Morgan City,US,2022-01-26 19:04:06,29.6994,-91.2068,55.0,53,0,10.36
288,Los Llanos De Aridane,ES,2022-01-26 19:04:07,28.6585,-17.9182,60.55,72,20,8.01
289,Christchurch,NZ,2022-01-26 19:02:17,-43.5333,172.6333,54.95,83,16,3.0
290,Barpathar,IN,2022-01-26 19:04:10,26.3,93.8667,57.02,94,100,2.91
291,Wladyslawowo,PL,2022-01-26 19:02:56,54.7909,18.4009,39.42,88,98,24.99
292,Mehamn,NO,2022-01-26 19:04:12,71.0357,27.8492,28.58,88,98,17.34
293,Cidreira,BR,2022-01-26 19:04:13,-30.1811,-50.2056,82.29,73,63,13.58
294,Shitanjing,CN,2022-01-26 19:04:14,39.2342,106.3439,19.08,49,100,3.36
